Date,Source_currency,Target_currency,Exchange_rate
2022-01-01,EUR,GBP,0.840369
2022-01-01,EUR,USD,1.137145
2022-01-01,EUR,AED,4.176782
2022-01-01,EUR,AFN,117.979297
2022-01-01,EUR,ALL,121.277018
2022-01-01,EUR,AMD,546.096265
2022-01-01,EUR,ANG,2.049808
2022-01-01,EUR,AOA,626.101357
2022-01-01,EUR,ARS,116.773434
2022-01-01,EUR,AUD,1.564485
2022-01-01,EUR,AWG,2.046862
2022-01-01,EUR,AZN,1.937662
2022-01-01,EUR,BAM,1.965137
2022-01-01,EUR,BBD,2.296476
2022-01-01,EUR,BDT,97.495932
2022-01-01,EUR,BGN,1.953969
2022-01-01,EUR,BHD,0.428655
2022-01-01,EUR,BIF,2278.270857
2022-01-01,EUR,BMD,1.137145
2022-01-01,EUR,BND,1.535298
2022-01-01,EUR,BOB,7.842413
2022-01-01,EUR,BRL,6.335383
2022-01-01,EUR,BSD,1.137387
2022-01-01,EUR,BTC,2.380531e-05
2022-01-01,EUR,BTN,84.571125
2022-01-01,EUR,BWP,13.373034
2022-01-01,EUR,BYN,2.908273
2022-01-01,EUR,BYR,22288.050307
2022-01-01,EUR,BZD,2.292658
2022-01-01,EUR,CAD,1.437255
2022-01-01,EUR,CDF,2277.138169
2022-01-01,EUR,CHF,1.03674
2022-01-01,EUR,CLF,0.035112
2022-01-01,EUR,CLP,968.848312
2022-01-01,EUR,CNY,7.227587
2022-01-01,EUR,COP,4622.871406
2022-01-01,EUR,CRC,730.147918
2022-01-01,EUR,CUC,1.137145
2022-01-01,EUR,CUP,30.134354
2022-01-01,EUR,CVE,110.587841
2022-01-01,EUR,CZK,24.871929
2022-01-01,EUR,DJF,202.093932
2022-01-01,EUR,DKK,7.435897
2022-01-01,EUR,DOP,65.243765
2022-01-01,EUR,DZD,157.842186
2022-01-01,EUR,EGP,17.864285
2022-01-01,EUR,ERN,17.05727
2022-01-01,EUR,ETB,55.891143
2022-01-01,EUR,FJD,2.41587
2022-01-01,EUR,FKP,0.857839
2022-01-01,EUR,GEL,3.519511
2022-01-01,EUR,GGP,0.857839
2022-01-01,EUR,GHS,6.993888
2022-01-01,EUR,GIP,0.857839
2022-01-01,EUR,GMD,59.984864
2022-01-01,EUR,GNF,10603.881482
2022-01-01,EUR,GTQ,8.77767
2022-01-01,EUR,GYD,237.84642
2022-01-01,EUR,HKD,8.865304
2022-01-01,EUR,HNL,27.750716
2022-01-01,EUR,HRK,7.516973
2022-01-01,EUR,HTG,114.046113
2022-01-01,EUR,HUF,369.242932
2022-01-01,EUR,IDR,16195.225126
2022-01-01,EUR,ILS,3.53953
2022-01-01,EUR,IMP,0.857839
2022-01-01,EUR,INR,84.733311
2022-01-01,EUR,IQD,1660.232319
2022-01-01,EUR,IRR,48072.823194
2022-01-01,EUR,ISK,147.590544
2022-01-01,EUR,JEP,0.857839
2022-01-01,EUR,JMD,175.116336
2022-01-01,EUR,JOD,0.806468
2022-01-01,EUR,JPY,130.89458
2022-01-01,EUR,KES,128.668442
2022-01-01,EUR,KGS,96.434255
2022-01-01,EUR,KHR,4628.182274
2022-01-01,EUR,KMF,494.516161
2022-01-01,EUR,KPW,1023.430793
2022-01-01,EUR,KRW,1351.929888
2022-01-01,EUR,KWD,0.34401
2022-01-01,EUR,KYD,0.947789
2022-01-01,EUR,KZT,494.763156
2022-01-01,EUR,LAK,12718.971963
2022-01-01,EUR,LBP,1720.501423
2022-01-01,EUR,LKR,230.751407
2022-01-01,EUR,LRD,165.028274
2022-01-01,EUR,LSL,18.137903
2022-01-01,EUR,LTL,3.357695
2022-01-01,EUR,LVL,0.687848
2022-01-01,EUR,LYD,5.23515
2022-01-01,EUR,MAD,10.553142
2022-01-01,EUR,MDL,20.240156
2022-01-01,EUR,MGA,4508.782
