Date,Source_currency,Target_currency,Exchange_rate
2022-01-01,GBP,USD,1.35315
2022-01-01,GBP,EUR,1.189953
2022-01-01,GBP,AED,4.970176
2022-01-01,GBP,AFN,140.389857
2022-01-01,GBP,ALL,144.313992
2022-01-01,GBP,AMD,649.829069
2022-01-01,GBP,ANG,2.439176
2022-01-01,GBP,AOA,745.031394
2022-01-01,GBP,ARS,138.954936
2022-01-01,GBP,AUD,1.861664
2022-01-01,GBP,AWG,2.43567
2022-01-01,GBP,AZN,2.305727
2022-01-01,GBP,BAM,2.338421
2022-01-01,GBP,BBD,2.732699
2022-01-01,GBP,BDT,116.015609
2022-01-01,GBP,BGN,2.325132
2022-01-01,GBP,BHD,0.510079
2022-01-01,GBP,BIF,2711.035992
2022-01-01,GBP,BMD,1.35315
2022-01-01,GBP,BND,1.826933
2022-01-01,GBP,BOB,9.332106
2022-01-01,GBP,BRL,7.53881
2022-01-01,GBP,BSD,1.353437
2022-01-01,GBP,BTC,2.8327208e-05
2022-01-01,GBP,BTN,100.635691
2022-01-01,GBP,BWP,15.913286
2022-01-01,GBP,BYN,3.46071
2022-01-01,GBP,BYR,26521.739674
2022-01-01,GBP,BZD,2.728156
2022-01-01,GBP,CAD,1.710267
2022-01-01,GBP,CDF,2709.688146
2022-01-01,GBP,CHF,1.233672
2022-01-01,GBP,CLF,0.041782
2022-01-01,GBP,CLP,1152.884274
2022-01-01,GBP,CNY,8.600492
2022-01-01,GBP,COP,5501.001222
2022-01-01,GBP,CRC,868.841947
2022-01-01,GBP,CUC,1.35315
2022-01-01,GBP,CUP,35.858475
2022-01-01,GBP,CVE,131.594369
2022-01-01,GBP,CZK,29.596435
2022-01-01,GBP,DJF,240.482348
2022-01-01,GBP,DKK,8.84837
2022-01-01,GBP,DOP,77.637035
2022-01-01,GBP,DZD,187.824834
2022-01-01,GBP,EGP,21.257665
2022-01-01,GBP,ERN,20.297355
2022-01-01,GBP,ETB,66.507852
2022-01-01,GBP,FJD,2.874773
2022-01-01,GBP,FKP,1.020788
2022-01-01,GBP,GEL,4.188054
2022-01-01,GBP,GGP,1.020788
2022-01-01,GBP,GHS,8.322401
2022-01-01,GBP,GIP,1.020788
2022-01-01,GBP,GMD,71.379189
2022-01-01,GBP,GNF,12618.124076
2022-01-01,GBP,GTQ,10.445018
2022-01-01,GBP,GYD,283.02614
2022-01-01,GBP,HKD,10.549298
2022-01-01,GBP,HNL,33.022057
2022-01-01,GBP,HRK,8.944847
