Date,Source_currency,Target_currency,Exchange_rate
2022-01-01,USD,GBP,0.739016
2022-01-01,USD,EUR,0.879395
2022-01-01,USD,AED,3.673042
2022-01-01,USD,AFN,103.750404
2022-01-01,USD,ALL,106.650403
2022-01-01,USD,AMD,480.234325
2022-01-01,USD,ANG,1.802591
2022-01-01,USD,AOA,550.590403
2022-01-01,USD,ARS,102.689974
2022-01-01,USD,AUD,1.3758
2022-01-01,USD,AWG,1.8
2022-01-01,USD,AZN,1.70397
2022-01-01,USD,BAM,1.728131
2022-01-01,USD,BBD,2.019509
2022-01-01,USD,BDT,85.737435
2022-01-01,USD,BGN,1.71831
2022-01-01,USD,BHD,0.376957
2022-01-01,USD,BIF,2003.5
2022-01-01,USD,BMD,1.0
2022-01-01,USD,BND,1.350133
2022-01-01,USD,BOB,6.896579
2022-01-01,USD,BRL,5.571304
2022-01-01,USD,BSD,1.000212
2022-01-01,USD,BTC,2.0934271e-05
2022-01-01,USD,BTN,74.371424
2022-01-01,USD,BWP,11.760179
2022-01-01,USD,BYN,2.557521
2022-01-01,USD,BYR,19600.0
2022-01-01,USD,BZD,2.016152
2022-01-01,USD,CAD,1.263915
2022-01-01,USD,CDF,2002.50392
2022-01-01,USD,CHF,0.911704
2022-01-01,USD,CLF,0.030877
2022-01-01,USD,CLP,852.000361
2022-01-01,USD,CNY,6.355904
2022-01-01,USD,COP,4065.33
2022-01-01,USD,CRC,642.088429
2022-01-01,USD,CUC,1.0
2022-01-01,USD,CUP,26.5
2022-01-01,USD,CVE,97.250394
2022-01-01,USD,CZK,21.87225
2022-01-01,USD,DJF,177.720394
2022-01-01,USD,DKK,6.53909
2022-01-01,USD,DOP,57.37504
2022-01-01,USD,DZD,138.805629
2022-01-01,USD,EGP,15.709763
2022-01-01,USD,ERN,15.000078
2022-01-01,USD,ETB,49.150392
2022-01-01,USD,FJD,2.124504
2022-01-01,USD,FKP,0.754379
2022-01-01,USD,GEL,3.09504
2022-01-01,USD,GGP,0.754379
2022-01-01,USD,GHS,6.15039
2022-01-01,USD,GIP,0.754379
2022-01-01,USD,GMD,52.75039
2022-01-01,USD,GNF,9325.000355
2022-01-01,USD,GTQ,7.719039
2022-01-01,USD,GYD,209.160953
2022-01-01,USD,HKD,7.796104
2022-01-01,USD,HNL,24.403841
2022-01-01,USD,HRK,6.610388
2022-01-01,USD,HTG,100.291581
2022-01-01,USD,HUF,324.710388
2022-01-01,USD,IDR,14242.0
2022-01-01,USD,ILS,3.112645
2022-01-01,USD,IMP,0.754379
2022-01-01,USD,INR,74.51405
2022-01-01,USD,IQD,1460.0
2022-01-01,USD,IRR,42275.000352
2022-01-01,USD,ISK,129.790386
2022-01-01,USD,JEP,0.754379
2022-01-01,USD,JMD,153.99643
2022-01-01,USD,JOD,0.709204
2022-01-01,USD,JPY,115.10804
2022-01-01,USD,KES,113.150385
2022-01-01,USD,KGS,84.803801
2022-01-01,USD,KHR,4070.000351
2022-01-01,USD,KMF,434.875039
2022-01-01,USD,KPW,899.999923
2022-01-01,USD,KRW,1188.880384
2022-01-01,USD,KWD,0.30252
2022-01-01,USD,KYD,0.833481
2022-01-01,USD,KZT,435.092246
2022-01-01,USD,LAK,11185.000349
2022-01-01,USD,LBP,1513.000349
2022-01-01,USD,LKR,202.921633
2022-01-01,USD,LRD,145.125039
2022-01-01,USD,LSL,15.950382
2022-01-01,USD,LTL,2.95274
2022-01-01,USD,LVL,0.60489
2022-01-01,USD,LYD,4.603765
2022-01-01,USD,MAD,9.280381
2022-01-01,USD,MDL,17.799092
2022-01-01,USD,MGA,3965.000347
2022-01-01,USD,MKD,54.454264
2022-01-01,USD,MMK,1778.408719
2022-01-01,USD,MNT,2858.384653
2022-01-01,USD,MOP,8.034231
2022-01-01,USD,MRO,356.999828
2022-01-01,USD,MUR,43.597186
2022-01-01,USD,MVR,15.403741
2022-01-01,USD,MWK,814.000345
2022-01-01,USD,MXN,20.497304
2022-01-01,USD,MYR,4.176504
2022-01-01,USD,MZN,63.830377
2022-01-01,USD,NAD,15.950377
2022-01-01,USD,NGN,411.950377
2022-01-01,USD,NIO,35.403725
2022-01-01,USD,NOK,8.817945
2022-01-01,USD,NPR,118.99393
2022-01-01,USD,NZD,1.461562
2022-01-01,USD,OMR,0.384996
2022-01-01,USD,PAB,1.000212
2022-01-01,USD,PEN,3.989504
2022-01-01,USD,PGK,3.525039
2022-01-01,USD,PHP,51.000342
2022-01-01,USD,PKR,178.250375
2022-01-01,USD,PLN,4.035304
2022-01-01,USD,PYG,6881.527559
2022-01-01,USD,QAR,3.641038
2022-01-01,USD,RON,4.351104
2022-01-01,USD,RSD,103.385224
2022-01-01,USD,RUB,74.791604
2022-01-01,USD,RWF,1015.0
2022-01-01,USD,SAR,3.754174
2022-01-01,USD,SBD,8.093922
2022-01-01,USD,SCR,13.60686
2022-01-01,USD,SDG,437.503678
2022-01-01,USD,SEK,9.05005
2022-01-01,USD,SGD,1.34865
2022-01-01,USD,SHP,1.377404
2022-01-01,USD,SLL,11255.000339
2022-01-01,USD,SOS,584.000338
2022-01-01,USD,SRD,20.808038
2022-01-01,USD,STD,20697.981008
2022-01-01,USD,SVC,8.751856
2022-01-01,USD,SYP,2512.492783
2022-01-01,USD,SZL,15.95037
2022-01-01,USD,THB,33.195038
2022-01-01,USD,TJS,11.301778
2022-01-01,USD,TMT,3.51
2022-01-01,USD,TND,2.875804
2022-01-01,USD,TOP,2.274604
2022-01-01,USD,TRY,13.321104
2022-01-01,USD,TTD,6.793755
2022-01-01,USD,TWD,27.717104
2022-01-01,USD,TZS,2306.000336
2022-01-01,USD,UAH,27.288029
2022-01-01,USD,UGX,3545.716406
2022-01-01,USD,UYU,44.625879
2022-01-01,USD,UZS,10820.000335
2022-01-01,USD,VEF,213830222338.07285
2022-01-01,USD,VND,22855.0
2022-01-01,USD,VUV,113.252653
2022-01-01,USD,WST,2.600171
2022-01-01,USD,XAF,579.600438
2022-01-01,USD,XAG,0.042953
2022-01-01,USD,XAU,0.000547
2022-01-01,USD,XCD,2.70255
2022-01-01,USD,XDR,0.714652
2022-01-01,USD,XOF,579.503602
2022-01-01,USD,XPF,105.850364
2022-01-01,USD,YER,250.250364
2022-01-01,USD,ZAR,15.951045
2022-01-01,USD,ZMK,9001.203593
2022-01-01,USD,ZMW,16.663427
2022-01-01,USD,ZWL,321.999592
2022-01-02,USD,GBP,0.73955
2022-01-02,USD,EUR,0.879285
2022-01-02,USD,AED,3.67298
2022-01-02,USD,AFN,103.749983
2022-01-02,USD,ALL,106.650326
2022-01-02,USD,AMD,480.234325
2022-01-02,USD,ANG,1.802591
2022-01-02,USD,AOA,550.590435
2022-01-02,USD,ARS,102.664691
2022-01-02,USD,AUD,1.376179
2022-01-02,USD,AWG,1.8
2022-01-02,USD,AZN,1.698647
